distance,target_velocity,target_acceleration,actual_duration,,,,
25,1000,1000,0.20164444,,,,
30,100,100,1.04980368,,,,
30,100,200,0.62573402,,,,
30,100,300,0.45604468,,,,
30,100,400,0.41364598,,,,
30,100,500,0.41350724,,,,
30,100,600,0.41332318,,,,
30,100,700,0.41343004,,,,
30,100,800,0.41324848,,,,
30,100,900,0.41351888,,,,
30,100,1000,0.20157608,,,,
30,200,100,1.04934574,,,,
30,200,200,0.62534124,,,,
30,200,300,0.5832077,,,,
30,200,400,0.41301926,,,,
30,200,500,0.4137731,,,,
30,200,600,0.41375426,,,,
30,200,700,0.37104104,,,,
30,200,800,0.20167068,,,,
30,200,900,0.20142898,,,,
30,200,1000,0.20149714,,,,
30,300,100,1.05044474,,,,
30,300,200,0.62630562,,,,
30,300,300,0.5407687,,,,
30,300,400,0.41341938,,,,
30,300,500,0.41374796,,,,
30,300,600,0.41389934,,,,
30,300,700,0.41343866,,,,
30,300,800,0.20180746,,,,
30,300,900,0.20150268,,,,
30,300,1000,0.2016063,,,,
30,400,100,1.0498906,,,,
30,400,200,0.62604532,,,,
30,400,300,0.45578112,,,,
30,400,400,0.41362812,,,,
30,400,500,0.41353116,,,,
30,400,600,0.41375496,,,,
30,400,700,0.3709047,,,,
30,400,800,0.2014997,,,,
30,400,900,0.20162512,,,,
30,400,1000,0.20187948,,,,
30,500,100,1.04978484,,,,
30,500,200,0.62535726,,,,
30,500,300,0.41414388,,,,
30,500,400,0.41355724,,,,
30,500,500,0.41413732,,,,
30,500,600,0.41392724,,,,
30,500,700,0.37102532,,,,
30,500,800,0.20153136,,,,
30,500,900,0.20144872,,,,
30,500,1000,0.20186128,,,,
30,600,100,1.0510999,,,,
30,600,200,0.62554062,,,,
30,600,300,0.45533924,,,,
30,600,400,0.41299468,,,,
30,600,500,0.4131445,,,,
30,600,600,0.41263122,,,,
30,600,700,0.37103784,,,,
30,600,800,0.20139346,,,,
30,600,900,0.2088827,,,,
30,600,1000,0.2016007,,,,
30,700,100,1.04917526,,,,
30,700,200,0.62568582,,,,
30,700,300,0.45610762,,,,
30,700,400,0.41391064,,,,
30,700,500,0.41396814,,,,
30,700,600,0.41367216,,,,
